ID,2025追加削除,レポート抽出用,CategoryNo.,カテゴリ,SubCategoryNo.,サブカテゴリ,項目グループ,項目名
1990,,,4,情報開示の積極性・先進性,410,英語による情報開示,Corporate,TCFDガイドラインに沿った情報を掲載している
2000,,,4,情報開示の積極性・先進性,410,英語による情報開示,Corporate,Key Figuresなど業績のデータ集約ページがある
2010,,,4,情報開示の積極性・先進性,410,英語による情報開示,Corporate,主要株主一覧を掲載している
2020,,,4,情報開示の積極性・先進性,410,英語による情報開示,Corporate,招集通知の英語版を掲載している（PDF可）
2030,,,4,情報開示の積極性・先進性,410,英語による情報開示,Corporate,Financial Results（Quarterly）を掲載している（PDF可）
2040,,,4,情報開示の積極性・先進性,410,英語による情報開示,Corporate,Integrated Report /Annual Reportを掲載している（PDF可）
2050,,,4,情報開示の積極性・先進性,410,英語による情報開示,Corporate,Presentationsを掲載している（PDF可）
2070,,,4,情報開示の積極性・先進性,410,英語による情報開示,Corporate,Financial Results（決算説明会）の動画を掲載している
2080,,,4,情報開示の積極性・先進性,410,英語による情報開示,Corporate,メールニュースの配信登録ができる
2090,,,4,情報開示の積極性・先進性,410,英語による情報開示,Contact,英語ページからメール問い合わせができる（フォーム可）
2100,,,4,情報開示の積極性・先進性,410,英語による情報開示,Contact,IR関連の連絡先の電話番号を記載している
2110,,,4,情報開示の積極性・先進性,410,英語による情報開示,Schedule,IRイベントの予定や過去の実績を確認できるIRカレンダーを掲載している
2120,,,4,情報開示の積極性・先進性,410,英語による情報開示,English,不自然な英語表現を用いていない（IR Library・CSR等）
2130,,,4,情報開示の積極性・先進性,410,英語による情報開示,Technical,日英の言語切り替えでは日本語サイトから直接該当の英語サイトへ遷移できる
2140,,,4,情報開示の積極性・先進性,410,英語による情報開示,Technical,点数調整
2150,,,4,情報開示の積極性・先進性,420,動画とソーシャルメディア,動画,経営者インタビュー・メッセージの動画を掲載している
2160,,,4,情報開示の積極性・先進性,420,動画とソーシャルメディア,動画,動画ライブラリーを設置している
2170,,,4,情報開示の積極性・先進性,420,動画とソーシャルメディア,ソーシャルメディア,Youtubeに開設する公式アカウントをIRトップで紹介している
2180,,,4,情報開示の積極性・先進性,420,動画とソーシャルメディア,ソーシャルメディア,Facebookに開設する公式アカウントをIRトップで紹介している
2190,,,4,情報開示の積極性・先進性,420,動画とソーシャルメディア,ソーシャルメディア,X（旧Twitter）に開設する公式アカウントをIRトップで紹介している
2200,,,4,情報開示の積極性・先進性,420,動画とソーシャルメディア,ソーシャルメディア,Instagramに開設する公式アカウントをIRトップで紹介している
2210,,,4,情報開示の積極性・先進性,420,動画とソーシャルメディア,ソーシャルメディア,LinkedInに開設する公式アカウントをIRトップで紹介している
2220,,,4,情報開示の積極性・先進性,420,動画とソーシャルメディア,ソーシャルメディア,ニュースページにページをシェアできるソーシャルプラグインを実装している
2230,,,4,情報開示の積極性・先進性,420,動画とソーシャルメディア,ソーシャルメディア,点数調整
2240,,,4,情報開示の積極性・先進性,430,ニュースリリースと問い合わせ,ニュースリリース,ニュースリリースはアイコンなどでジャンルが特定できる
2250,,,4,情報開示の積極性・先進性,430,ニュースリリースと問い合わせ,ニュースリリース,ニュースリリースのフリーワード検索ができる
2260,,,4,情報開示の積極性・先進性,430,ニュースリリースと問い合わせ,ニュースリリース,ニュースリリースは内容別にソーティングができる
2270,,,4,情報開示の積極性・先進性,430,ニュースリリースと問い合わせ,ニュースリリース,ニュースリリースのメール配信登録ができる
2290,,,4,情報開示の積極性・先進性,430,ニュースリリースと問い合わせ,問い合わせ,IR関連の問い合わせメールがある（フォーム可）
2300,,,4,情報開示の積極性・先進性,430,ニュースリリースと問い合わせ,問い合わせ,IR関連の問い合わせ電話番号を記載している
2310,,,4,情報開示の積極性・先進性,430,ニュースリリースと問い合わせ,問い合わせ,ウェブサイトに対する意見・要望を送信できる機能がある
2320,,,4,情報開示の積極性・先進性,430,ニュースリリースと問い合わせ,問い合わせ,IRサイトアンケートを掲載している
2330,,,4,情報開示の積極性・先進性,430,ニュースリリースと問い合わせ,問い合わせ,点数調整
2340,,,4,情報開示の積極性・先進性,440,マルチデバイス対応,マルチデバイス対応,IRトップページをスマートフォン最適化している
2350,,,4,情報開示の積極性・先進性,440,マルチデバイス対応,マルチデバイス対応,ニュースリリースをスマートフォン最適化している
2360,,,4,情報開示の積極性・先進性,440,マルチデバイス対応,マルチデバイス対応,IRサイト全体をスマートフォン最適化している
2370,,,4,情報開示の積極性・先進性,440,マルチデバイス対応,マルチデバイス対応,点数調整
2380,,,4,情報開示の積極性・先進性,450,個人投資家への情報発信,個人投資家,個人投資家向け特設カテゴリを設けている
2385,,,4,情報開示の積極性・先進性,450,個人投資家への情報発信,個人投資家,個人投資家向け特設カテゴリ配下に動画を掲載している
2390,,,4,情報開示の積極性・先進性,450,個人投資家への情報発信,個人投資家,個人投資家向け特設カテゴリに経営計画や成長戦略を掲載している（専用コンテンツ）
2400,,,4,情報開示の積極性・先進性,450,個人投資家への情報発信,個人投資家,個人投資家向け特設カテゴリに株主還元情報を掲載している（専用コンテンツ）
2410,,,4,情報開示の積極性・先進性,450,個人投資家への情報発信,個人投資家,個人投資家向け特設カテゴリに簡潔な事業解説を掲載している（専用コンテンツ）
2420,,,4,情報開示の積極性・先進性,450,個人投資家への情報発信,個人投資家,株主専用サイトへの動線を確保している
2430,,,4,情報開示の積極性・先進性,450,個人投資家への情報発信,個人投資家,点数調整
